song,artist,genre,explicit,year,duration_ms,speechiness,liveness,danceability,valence,Mood,Rating_popularity
Oops!...I Did It Again,Britney Spears,pop,FALSE,2000,211160,0.04,0.36,0.75,0.89,Cheerful,Popular
All The Small Things,blink-182,rock,FALSE,1999,167066,0.05,0.61,0.43,0.68,Happy,Popular
It's My Life,Bon Jovi,rock,FALSE,2000,224493,0.05,0.35,0.55,0.54,Happy,Popular
The Real Slim Shady,Eminem,hip hop,TRUE,2000,284200,0.06,0.05,0.95,0.76,Cheerful,Popular
Say My Name,Destiny's Child,pop,FALSE,1999,271333,0.1,0.15,0.71,0.73,Happy,Popular
Lady - Hear Me Tonight,Modjo,Dance,FALSE,2001,307153,0.04,0.06,0.72,0.87,Cheerful,Popular
L'Amour Toujours,Gigi D'Agostino,pop,FALSE,2011,238759,0.03,0.36,0.62,0.81,Cheerful,Underrated
Try Again,Aaliyah,hip hop,FALSE,2002,284000,0.29,0.08,0.8,0.73,Happy,Underrated
Better Off Alone,Alice Deejay,pop,FALSE,2000,214883,0.06,0.29,0.67,0.78,Cheerful,Popular
The Next Episode,Dr. Dre,hip hop,TRUE,1999,161506,0.27,0.09,0.92,0.31,Sad,Popular
In the End,Linkin Park,rock,FALSE,2000,216880,0.06,0.21,0.56,0.4,Sad,Popular
Take A Look Around,Limp Bizkit,metal,FALSE,2000,321040,0.05,0.09,0.43,0.51,Happy,Popular
What'chu Like (feat. Tyrese),Da Brat,hip hop,TRUE,2000,221160,0.24,0.07,0.88,0.82,Cheerful,Underrated
Don't Give Up,Chicane,Electronic,FALSE,2016,210786,0.04,0.08,0.64,0.53,Happy,Underrated
Dance with Me,Debelah Morgan,pop,FALSE,2000,220106,0.04,0.04,0.85,0.74,Happy,Underrated
No More,Ruff Endz,R&B,FALSE,2000,242560,0.09,0.06,0.84,0.93,Cheerful,Underrated
Bounce With Me (feat. Xscape) - Edited Album Version,Bow Wow,hip hop,FALSE,2000,175893,0.17,0.27,0.85,0.93,Cheerful,Underrated
Forgot About Dre,Dr. Dre,hip hop,TRUE,1999,222293,0.08,0.16,0.92,0.62,Happy,Popular
Hot Boyz,Missy Elliott,hip hop,TRUE,1998,215466,0.29,0.18,0.73,0.53,Happy,Underrated
Gotta Tell You,Samantha Mumba,pop,FALSE,2018,201946,0.03,0.17,0.73,0.77,Cheerful,Underrated
Wifey,Next,hip hop,FALSE,2004,243666,0.11,0.08,0.83,0.73,Happy,Underrated
Doesn't Really Matter,Janet Jackson,pop,FALSE,2001,265026,0.08,0.1,0.77,0.8,Cheerful,Underrated
Go Let It Out,Oasis,Folk,FALSE,2000,278666,0.03,0.56,0.41,0.63,Happy,Underrated
Most Girls,P!nk,pop,FALSE,2000,298960,0.03,0.1,0.74,0.69,Happy,Underrated
Against All Odds (Take A Look at Me Now) (feat. Westlife),Mariah Carey,pop,FALSE,2011,199480,0.03,0.1,0.47,0.37,Sad,Underrated
Otherside,Red Hot Chili Peppers,rock,FALSE,1999,255373,0.06,0.08,0.46,0.51,Happy,Popular
Kryptonite,3 Doors Down,pop,FALSE,2000,233933,0.03,0.17,0.55,0.54,Happy,Popular
I Wish,Carl Thomas,pop,FALSE,2000,226760,0.03,0.11,0.74,0.22,Depressed,Underrated
Hemorrhage (In My Hands),Fuel,rock,FALSE,2000,236866,0.04,0.24,0.31,0.33,Sad,Underrated
It Wasn't Me,Shaggy,hip hop,FALSE,2000,227600,0.07,0.31,0.85,0.65,Happy,Popular
Stan,Eminem,hip hop,TRUE,2000,404106,0.24,0.52,0.78,0.51,Sad,Popular
Can't Get You out of My Head,Kylie Minogue,pop,FALSE,2001,230640,0.03,0.12,0.77,0.96,Cheerful,Popular
I'm Like A Bird,Nelly Furtado,hip hop,FALSE,2000,243160,0.04,0.27,0.62,0.61,Happy,Underrated
"Whenever, Wherever",Shakira,pop,FALSE,2001,196160,0.04,0.2,0.79,0.87,Cheerful,Popular
The Middle,Jimmy Eat World,rock,FALSE,2001,165853,0.05,0.06,0.64,0.9,Cheerful,Popular
Drops of Jupiter (Tell Me),Train,pop,FALSE,2001,259933,0.03,0.15,0.48,0.5,Sad,Popular
Family Affair,Mary J. Blige,pop,FALSE,2001,265866,0.04,0.09,0.91,0.97,Cheerful,Popular
We Come 1 - Radio Edit,Faithless,pop,FALSE,2015,222435,0.04,0.15,0.65,0.61,Happy,Underrated
Rollin' (Air Raid Vehicle),Limp Bizkit,metal,TRUE,2000,213760,0.17,0.21,0.6,0.71,Happy,Popular
Irresistible,Jessica Simpson,pop,FALSE,2001,194026,0.06,0.06,0.66,0.67,Happy,Underrated
Let Me Blow Ya Mind,Eve,hip hop,TRUE,2001,230133,0.11,0.07,0.91,0.9,Cheerful,Popular
Ain't It Funny,Jennifer Lopez,hip hop,FALSE,2001,246160,0.05,0.08,0.71,0.62,Happy,Underrated
Another Day in Paradise - R&B-Version,Brandy,hip hop,FALSE,2002,271626,0.03,0.07,0.7,0.56,Happy,Underrated
How You Remind Me,Nickelback,rock,FALSE,2001,223840,0.03,0.1,0.45,0.54,Happy,Popular
One More Time,Daft Punk,hip hop,FALSE,2001,320357,0.13,0.33,0.61,0.48,Sad,Popular
Ms. Jackson,Outkast,hip hop,TRUE,2000,270506,0.27,0.08,0.84,0.61,Happy,Popular
Everytime You Need Me - Radio Version,Fragma,pop,FALSE,2001,213346,0.03,0.34,0.68,0.79,Cheerful,Underrated
Loverboy,Mariah Carey,pop,FALSE,2001,229173,0.12,0.1,0.72,0.82,Cheerful,Underrated
Thank You,Dido,pop,FALSE,1999,218360,0.04,0.07,0.73,0.76,Cheerful,Popular
Nobody Wants to Be Lonely (with Christina Aguilera),Ricky Martin,pop,FALSE,2008,252706,0.06,0.06,0.64,0.59,Happy,Underrated
Another Chance,Roger Sanchez,Electronic,FALSE,2000,452906,0.03,0.14,0.61,0.45,Sad,Underrated
Clint Eastwood,Gorillaz,hip hop,TRUE,2001,340920,0.17,0.07,0.66,0.53,Happy,Popular
Stranger in My House,Tamia,pop,FALSE,2000,285386,0.03,0.15,0.68,0.21,Depressed,Underrated
Let's Dance - Radio Edit,Five,pop,FALSE,2001,218626,0.09,0.29,0.63,0.55,Happy,Underrated
Smooth Criminal,Alien Ant Farm,rock,FALSE,2001,209266,0.06,0.14,0.65,0.87,Cheerful,Popular
Pop Ya Collar - Radio Edit,Usher,hip hop,FALSE,2016,210813,0.09,0.23,0.89,0.87,Cheerful,Underrated
Don't Tell Me,Madonna,pop,FALSE,2000,280973,0.06,0.09,0.7,0.68,Happy,Underrated
Turn Off The Light,Nelly Furtado,hip hop,FALSE,2000,276106,0.09,0.41,0.59,0.65,Happy,Underrated
All I Want - Sunship Radio Edit,Mis-Teeq,pop,FALSE,2004,207400,0.08,0.19,0.8,0.96,Cheerful,Underrated
It's the Way You Make Me Feel,Steps,pop,FALSE,2000,197360,0.02,0.1,0.57,0.35,Sad,Underrated
Gotta Get Thru This - D'N'D Radio Edit,Daniel Bedingfield,pop,FALSE,2002,162333,0.06,0.1,0.84,0.94,Cheerful,Underrated
Point Of View - Radio Edit,DB Boulevard,Electronic,FALSE,2018,231166,0.03,0.07,0.68,0.28,Sad,Underrated
Love,Musiq Soulchild,pop,FALSE,2000,304666,0.05,0.09,0.57,0.34,Sad,Underrated
21 Seconds,So Solid Crew,Electronic,TRUE,2001,302826,0.24,0.12,0.61,0.82,Cheerful,Underrated
Eternity,Robbie Williams,pop,FALSE,2001,302760,0.03,0.09,0.47,0.2,Depressed,Underrated
Romeo,Basement Jaxx,pop,FALSE,2001,217493,0.05,0.14,0.71,0.84,Cheerful,Underrated
Ride Wit Me,Nelly,hip hop,TRUE,2000,291781,0.05,0.24,0.85,0.72,Happy,Popular
Crazy,K-Ci & JoJo,pop,FALSE,2019,262773,0.03,0.55,0.68,0.48,Sad,Underrated
Gone,*NSYNC,pop,FALSE,2001,292000,0.06,0.13,0.7,0.5,Sad,Underrated
Dilemma,Nelly,hip hop,TRUE,2002,289160,0.14,0.2,0.73,0.61,Happy,Popular
Without Me,Eminem,hip hop,TRUE,2002,290320,0.07,0.24,0.91,0.66,Happy,Popular
Complicated,Avril Lavigne,pop,FALSE,2002,244506,0.05,0.3,0.59,0.43,Sad,Popular
A Thousand Miles,Vanessa Carlton,Folk,FALSE,2002,237493,0.04,0.16,0.56,0.27,Sad,Popular
Wherever You Will Go,The Calling,pop,FALSE,2001,208600,0.03,0.12,0.56,0.37,Sad,Popular
Underneath It All,No Doubt,rock,FALSE,2001,302720,0.07,0.39,0.73,0.84,Cheerful,Underrated
'Till I Collapse,Eminem,hip hop,TRUE,2002,297786,0.19,0.08,0.55,0.1,Depressed,Popular
Die Another Day,Madonna,pop,FALSE,2003,276360,0.09,0.09,0.79,0.49,Sad,Underrated
I'm Gonna Be Alright (feat. Nas),Jennifer Lopez,hip hop,FALSE,2002,172240,0.27,0.27,0.72,0.77,Cheerful,Underrated
If I Could Go! (feat. Lil' Mo & Sacario),Angie Martinez,pop,FALSE,2019,244466,0.36,0.04,0.58,0.7,Happy,Underrated
In the End,Linkin Park,rock,FALSE,2000,216880,0.06,0.21,0.56,0.4,Sad,Popular
Rock The Boat,Aaliyah,hip hop,FALSE,2019,275026,0.03,0.19,0.64,0.42,Sad,Underrated
What About Us?,Brandy,hip hop,FALSE,2002,253200,0.22,0.39,0.69,0.75,Happy,Underrated
The Logical Song,Scooter,pop,FALSE,2013,234116,0.04,0.43,0.53,0.49,Sad,Underrated
4 My People (feat. Eve),Missy Elliott,hip hop,TRUE,2001,289373,0.16,0.2,0.97,0.91,Cheerful,Underrated
More Than A Woman,Aaliyah,hip hop,FALSE,2002,230346,0.08,0.18,0.65,0.74,Happy,Underrated
Full Moon,Brandy,hip hop,FALSE,2002,248933,0.14,0.09,0.61,0.61,Happy,Underrated
Nessaja,Scooter,pop,FALSE,2013,208449,0.04,0.19,0.49,0.12,Depressed,Underrated
Hot In Herre,Nelly,hip hop,TRUE,2002,228240,0.12,0.06,0.96,0.91,Cheerful,Popular
Anyone of Us (Stupid Mistake),Gareth Gates,pop,FALSE,2003,227866,0.03,0.08,0.7,0.65,Happy,Underrated
Uh Huh,B2K,hip hop,FALSE,2002,223293,0.07,0.06,0.86,0.91,Cheerful,Underrated
Freak Like Me,Sugababes,pop,FALSE,2002,195866,0.09,0.56,0.52,0.39,Sad,Underrated
Days Go By,Dirty Vegas,Electronic,FALSE,2002,432146,0.07,0.35,0.79,0.31,Sad,Underrated
What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,hip hop,TRUE,2001,267093,0.06,0.11,0.84,0.92,Cheerful,Popular
Just A Little,Liberty X,pop,FALSE,2019,237359,0.06,0.05,0.79,0.74,Happy,Underrated
Hella Good,No Doubt,rock,FALSE,2001,242586,0.04,0.09,0.77,0.84,Cheerful,Underrated
Luv U Better,LL Cool J,hip hop,FALSE,2002,287000,0.24,0.18,0.67,0.72,Happy,Underrated
Can't Stop,Red Hot Chili Peppers,rock,FALSE,2002,269000,0.05,0.17,0.62,0.88,Cheerful,Popular
I Love You,Faith Evans,hip hop,FALSE,2001,267160,0.09,0.23,0.49,0.57,Happy,Underrated
Down 4 U,Charli Baltimore,pop,TRUE,2002,318213,0.32,0.67,0.64,0.52,Happy,Underrated
Unchained Melody,Gareth Gates,pop,FALSE,2003,233666,0.03,0.11,0.37,0.21,Depressed,Underrated
Nu Flow,Big Brovaz,pop,FALSE,2001,201480,0.11,0.36,0.78,0.78,Cheerful,Underrated
Hey Baby,No Doubt,rock,FALSE,2001,207040,0.13,0.23,0.71,0.75,Happy,Underrated
Rainy Dayz,Mary J. Blige,pop,FALSE,2001,276373,0.23,0.31,0.41,0.53,Happy,Underrated
Caught in the Middle,A1,pop,FALSE,2001,206466,0.03,0.24,0.52,0.57,Happy,Underrated
A Woman's Worth,Alicia Keys,pop,FALSE,2001,303333,0.16,0.06,0.65,0.5,Sad,Underrated
Clocks,Coldplay,rock,FALSE,2002,307879,0.03,0.18,0.58,0.26,Depressed,Popular
Always On Time,Ja Rule,hip hop,TRUE,2001,245133,0.2,0.24,0.84,0.84,Cheerful,Popular
Sk8er Boi,Avril Lavigne,pop,FALSE,2002,204000,0.05,0.36,0.49,0.48,Sad,Popular
By the Way,Red Hot Chili Peppers,rock,FALSE,2002,216933,0.11,0.1,0.45,0.2,Depressed,Popular
Girlfriend,*NSYNC,pop,FALSE,2001,253600,0.09,0.03,0.75,0.86,Cheerful,Underrated
One Last Breath - Radio Version,Creed,pop,FALSE,2015,242000,0.04,0.3,0.38,0.2,Depressed,Underrated
Crossroads - Radio Edit,Blazin' Squad,pop,FALSE,2012,188693,0.04,0.33,0.66,0.5,Sad,Underrated
Wasting My Time,Default,rock,FALSE,2001,268693,0.03,0.07,0.44,0.17,Depressed,Underrated
In My Place,Coldplay,rock,FALSE,2002,226680,0.03,0.3,0.42,0.19,Depressed,Popular
The Whole World (feat. Killer Mike),Outkast,hip hop,TRUE,2001,295346,0.4,0.03,0.81,0.72,Happy,Underrated
In Da Club,50 Cent,hip hop,TRUE,2003,193466,0.37,0.07,0.9,0.78,Cheerful,Popular
Get Busy,Sean Paul,hip hop,FALSE,2002,211666,0.04,0.16,0.74,0.73,Happy,Popular
Lose Yourself - From "8 Mile" Soundtrack,Eminem,hip hop,TRUE,2004,322226,0.26,0.34,0.69,0.06,Depressed,Popular
Crazy In Love (feat. Jay-Z),Beyoncé,pop,FALSE,2003,236133,0.23,0.07,0.65,0.68,Happy,Popular
Big Yellow Taxi,Counting Crows,rock,FALSE,2003,225426,0.05,0.14,0.67,0.83,Cheerful,Underrated
All The Things She Said,t.A.T.u.,pop,TRUE,2020,214440,0.05,0.11,0.53,0.38,Sad,Underrated
P.I.M.P.,50 Cent,hip hop,TRUE,2003,249480,0.35,0.04,0.71,0.85,Cheerful,Popular
Faint,Linkin Park,rock,FALSE,2003,162600,0.13,0.07,0.55,0.59,Happy,Popular
Bring Me To Life,Evanescence,metal,FALSE,2003,235893,0.07,0.24,0.33,0.3,Sad,Popular
I Hate Everything About You,Three Days Grace,rock,FALSE,2003,231480,0.04,0.14,0.5,0.45,Sad,Popular
Get Low,Lil Jon & The East Side Boyz,hip hop,FALSE,2002,324600,0.04,0.19,0.78,0.12,Depressed,Underrated
Suga Suga,Baby Bash,hip hop,FALSE,2003,239026,0.27,0.08,0.66,0.54,Happy,Popular
Miss You - Main,Aaliyah,hip hop,FALSE,2002,245240,0.04,0.23,0.6,0.51,Happy,Underrated
Rock Your Body,Justin Timberlake,pop,FALSE,2002,267266,0.14,0.05,0.89,0.82,Cheerful,Popular
Seven Nation Army,The White Stripes,rock,FALSE,2003,231920,0.08,0.31,0.74,0.31,Sad,Underrated
Magic Stick,Lil' Kim,hip hop,TRUE,2019,359973,0.27,0.27,0.85,0.5,Sad,Underrated
U Make Me Wanna - Radio Edit,Blue,pop,FALSE,2003,222400,0.03,0.14,0.6,0.85,Cheerful,Underrated
Rain On Me,Ashanti,hip hop,FALSE,2003,297960,0.03,0.08,0.61,0.51,Sad,Underrated
Headstrong,Trapt,rock,TRUE,2002,285569,0.12,0.19,0.49,0.53,Happy,Popular
Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,Nelly,hip hop,FALSE,2016,293666,0.3,0.17,0.53,0.91,Cheerful,Underrated
Be Faithful,Fatman Scoop,hip hop,TRUE,2009,164506,0.3,0.32,0.65,0.63,Happy,Underrated
The Jump Off (feat. Mr. Cheeks) - Remix,Lil' Kim,hip hop,TRUE,2003,234800,0.34,0.06,0.85,0.94,Cheerful,Underrated
My Love Is Like...Wo - Main Mix,Mýa,pop,FALSE,2003,209533,0.11,0.31,0.83,0.72,Happy,Underrated
21 Questions,50 Cent,hip hop,TRUE,2003,224440,0.3,0.04,0.65,0.9,Cheerful,Popular
Don't Wanna Try,Frankie J,hip hop,FALSE,2003,245293,0.03,0.22,0.66,0.2,Depressed,Underrated
Danger! High Voltage - Soulchild Radio Mix,Electric Six,rock,FALSE,2003,214600,0.03,0.05,0.66,0.51,Happy,Underrated
Sweet Dreams My LA Ex - Radio Edit,Rachel Stevens,pop,FALSE,2003,208386,0.14,0.09,0.85,0.91,Cheerful,Underrated
Cry Me a River,Justin Timberlake,pop,FALSE,2002,288333,0.18,0.1,0.62,0.56,Happy,Popular
Angel,Amanda Perez,pop,FALSE,2003,218760,0.05,0.16,0.64,0.35,Sad,Underrated
Clocks,Coldplay,rock,FALSE,2002,307879,0.03,0.18,0.58,0.26,Depressed,Popular
Like a Stone,Audioslave,rock,FALSE,2002,293960,0.03,0.1,0.61,0.52,Happy,Popular
White Flag,Dido,pop,FALSE,2003,240040,0.04,0.08,0.51,0.29,Sad,Underrated
Miss Independent,Kelly Clarkson,pop,FALSE,2003,214773,0.14,0.07,0.66,0.59,Happy,Underrated
Reptilia,The Strokes,rock,FALSE,2003,219826,0.03,0.1,0.49,0.77,Cheerful,Popular
Yeah! (feat. Lil Jon & Ludacris),Usher,hip hop,FALSE,2004,250373,0.11,0.04,0.89,0.58,Happy,Popular
This Love,Maroon 5,pop,FALSE,2002,206200,0.04,0.09,0.71,0.81,Cheerful,Popular
Toxic,Britney Spears,pop,FALSE,2003,198800,0.11,0.24,0.77,0.92,Cheerful,Popular
Hey Ya!,Outkast,hip hop,FALSE,2003,235213,0.07,0.17,0.73,0.97,Cheerful,Popular
The Reason,Hoobastank,pop,FALSE,2003,232800,0.03,0.16,0.47,0.07,Depressed,Popular
Gasolina,Daddy Yankee,latin,FALSE,2004,192600,0.06,0.08,0.86,0.75,Happy,Underrated
Let's Get It Started - Spike Mix,Black Eyed Peas,hip hop,FALSE,2004,217733,0.13,0.29,0.79,0.8,Cheerful,Underrated
Numb,Linkin Park,rock,FALSE,2003,185586,0.04,0.64,0.5,0.24,Depressed,Popular
Locked Up,Akon,pop,TRUE,2004,235066,0.1,0.11,0.82,0.35,Sad,Underrated
My Band,D12,hip hop,TRUE,2004,298773,0.08,0.12,0.85,0.84,Cheerful,Popular
Eyes On You - Radio Mix,Jay Sean,hip hop,FALSE,2004,190493,0.08,0.14,0.8,0.62,Happy,Underrated
Call on Me - Radio Mix,Eric Prydz,pop,FALSE,2004,171360,0.38,0.84,0.6,0.45,Sad,Popular
My Prerogative,Britney Spears,pop,FALSE,2004,213893,0.12,0.1,0.75,0.62,Happy,Underrated
Suga Suga,Baby Bash,hip hop,FALSE,2003,239026,0.27,0.08,0.66,0.54,Happy,Popular
Dirt Off Your Shoulder,JAY-Z,hip hop,TRUE,2003,245173,0.32,0.34,0.78,0.65,Happy,Underrated
Radio,Robbie Williams,pop,FALSE,2004,233600,0.03,0.26,0.61,0.85,Cheerful,Underrated
Hey Mama,Black Eyed Peas,hip hop,TRUE,2003,214893,0.23,0.58,0.86,0.93,Cheerful,Underrated
Not In Love - Radio Mix,Enrique Iglesias,pop,FALSE,2003,223133,0.04,0.05,0.76,0.89,Cheerful,Underrated
Leave (Get Out) - Radio Edit,JoJo,hip hop,FALSE,2005,242746,0.25,0.08,0.66,0.46,Sad,Underrated
Dip It Low,Christina Milian,hip hop,FALSE,2004,197186,0.1,0.08,0.75,0.61,Happy,Underrated
Drop It Like It's Hot,Snoop Dogg,hip hop,TRUE,2004,266066,0.22,0.1,0.89,0.68,Happy,Underrated
Good Luck,Basement Jaxx,pop,FALSE,2003,282306,0.16,0.59,0.57,0.31,Sad,Underrated
Cha Cha Slide - Hardino Mix,DJ Casper,pop,FALSE,2004,222146,0.13,0.29,0.85,0.8,Cheerful,Underrated
I Believe in You,Kylie Minogue,pop,FALSE,2004,200973,0.07,0.33,0.55,0.42,Sad,Underrated
Take Me Out,Franz Ferdinand,rock,FALSE,2004,237026,0.04,0.14,0.28,0.53,Happy,Popular
Sunshine (feat. Lea),Lil' Flip,hip hop,TRUE,2004,225173,0.09,0.13,0.81,0.79,Cheerful,Underrated
Jesus Walks,Kanye West,hip hop,TRUE,2004,193733,0.32,0.32,0.64,0.72,Happy,Popular
My Immortal,Evanescence,metal,FALSE,2003,262533,0.04,0.13,0.19,0.1,Depressed,Popular
If There's Any Justice,Lemar,R&B,FALSE,2004,229080,0.05,0.34,0.71,0.64,Happy,Underrated
Slow Jamz,Twista,hip hop,TRUE,2004,316053,0.17,0.28,0.56,0.61,Happy,Popular
American Idiot,Green Day,rock,TRUE,2004,176346,0.06,0.37,0.38,0.77,Cheerful,Popular
Comfortably Numb,Scissor Sisters,pop,FALSE,2004,266040,0.04,0.1,0.8,0.79,Cheerful,Underrated
Through The Wire,Kanye West,hip hop,TRUE,2004,221226,0.25,0.16,0.57,0.66,Happy,Popular
Splash Waterfalls,Ludacris,hip hop,TRUE,2003,290760,0.41,0.23,0.73,0.7,Happy,Underrated
White Flag,Dido,pop,FALSE,2003,240040,0.04,0.08,0.51,0.29,Sad,Underrated
Here Without You,3 Doors Down,pop,FALSE,2002,238733,0.03,0.21,0.56,0.23,Depressed,Popular
All Falls Down,Kanye West,hip hop,TRUE,2004,223506,0.48,0.14,0.66,0.43,Sad,Popular
My Boo,Usher,hip hop,FALSE,2004,223440,0.12,0.05,0.66,0.68,Happy,Popular
Like Toy Soldiers,Eminem,hip hop,TRUE,2004,296880,0.36,0.1,0.52,0.4,Sad,Underrated
Let Me Love You,Mario,pop,FALSE,2004,256733,0.09,0.12,0.66,0.56,Happy,Popular
Gold Digger,Kanye West,hip hop,TRUE,2005,207626,0.35,0.06,0.63,0.62,Happy,Popular
Pon de Replay,Rihanna,hip hop,FALSE,2005,246960,0.16,0.1,0.78,0.5,Sad,Popular
Candy Shop,50 Cent,hip hop,TRUE,2005,209106,0.47,0.38,0.61,0.76,Happy,Popular
You're Beautiful,James Blunt,pop,TRUE,2005,209493,0.03,0.09,0.68,0.45,Sad,Popular
Boulevard of Broken Dreams,Green Day,rock,TRUE,2004,261266,0.03,0.04,0.49,0.51,Sad,Popular
Don't Cha,The Pussycat Dolls,pop,FALSE,2005,272080,0.1,0.13,0.88,0.55,Happy,Popular
Bad Day,Daniel Powter,pop,FALSE,2005,233640,0.03,0.15,0.6,0.52,Happy,Popular
Bananza (Belly Dancer),Akon,pop,FALSE,2004,238493,0.13,0.76,0.88,0.67,Happy,Underrated
Hung Up,Madonna,pop,FALSE,2005,337733,0.05,0.07,0.65,0.41,Sad,Popular
Just A Lil Bit,50 Cent,hip hop,TRUE,2005,237706,0.41,0.32,0.49,0.53,Happy,Popular
Ass Like That,Eminem,hip hop,TRUE,2004,265480,0.37,0.11,0.65,0.68,Happy,Underrated
Remember the Name (feat. Styles of Beyond),Fort Minor,hip hop,TRUE,2005,230493,0.09,0.08,0.69,0.88,Cheerful,Popular
