song,artist,genre,explicit,year,duration_ms,speechiness,liveness,danceability,valence,Mood,Rating_popularity
Disco Inferno,50 Cent,hip hop,TRUE,2005,214226,0.23,0.28,0.93,0.71,Happy,Popular
How We Do,The Game,hip hop,TRUE,2005,235533,0.25,0.03,0.86,0.64,Happy,Popular
It's Like That,Mariah Carey,pop,FALSE,2005,203360,0.05,0.03,0.8,0.84,Cheerful,Underrated
"Baby, I'm Back",Baby Bash,hip hop,TRUE,2005,219920,0.11,0.1,0.9,0.75,Happy,Underrated
Numb / Encore,JAY-Z,hip hop,TRUE,2004,205733,0.17,0.58,0.69,0.75,Happy,Popular
Hate It Or Love It,The Game,hip hop,TRUE,2005,206400,0.21,0.12,0.8,0.44,Sad,Popular
Feel Good Inc.,Gorillaz,hip hop,FALSE,2005,222640,0.18,0.61,0.82,0.77,Cheerful,Popular
Lonely,Akon,pop,TRUE,2004,235800,0.04,0.24,0.63,0.62,Happy,Underrated
Mockingbird,Eminem,hip hop,TRUE,2004,250760,0.27,0.16,0.64,0.25,Depressed,Popular
La Tortura (feat. Alejandro Sanz),Shakira,pop,FALSE,2005,212893,0.04,0.12,0.74,0.81,Cheerful,Popular
DARE,Gorillaz,hip hop,FALSE,2005,244999,0.04,0.3,0.76,0.97,Cheerful,Popular
Play,David Banner,hip hop,TRUE,2005,230133,0.13,0.24,0.84,0.59,Happy,Underrated
Some Cut,Trillville,hip hop,TRUE,2004,283454,0.37,0.11,0.9,0.66,Happy,Underrated
Almost Here,Brian McFadden,pop,FALSE,2004,229826,0.03,0.11,0.56,0.32,Sad,Underrated
Drop It Like It's Hot,Snoop Dogg,hip hop,TRUE,2004,266066,0.22,0.1,0.89,0.68,Happy,Underrated
Get It Poppin' (feat. Nelly) - Radio Version,Fat Joe,hip hop,FALSE,2005,211320,0.37,0.06,0.91,0.52,Happy,Underrated
"1, 2 Step (feat. Missy Elliott) - Main",Ciara,pop,FALSE,2005,202213,0.16,0.05,0.94,0.8,Cheerful,Underrated
1 Thing,Amerie,hip hop,FALSE,2008,238746,0.33,0.04,0.64,0.89,Cheerful,Underrated
Shiver,Natalie Imbruglia,pop,FALSE,2005,222653,0.03,0.15,0.49,0.31,Sad,Underrated
The Kill,Thirty Seconds To Mars,rock,FALSE,2005,231533,0.08,0.58,0.18,0.29,Sad,Popular
Karma,Alicia Keys,pop,FALSE,2003,256000,0.06,0.03,0.73,0.69,Happy,Underrated
Don't Forget About Us - Radio Edit,Mariah Carey,pop,FALSE,2005,233866,0.04,0.1,0.7,0.39,Sad,Underrated
Switch,Will Smith,hip hop,FALSE,2020,197666,0.18,0.56,0.87,0.48,Sad,Underrated
You Raise Me Up,Westlife,pop,FALSE,2005,241066,0.03,0.09,0.13,0.17,Depressed,Underrated
That's My Goal,Shayne Ward,pop,FALSE,2006,219600,0.03,0.27,0.29,0.14,Depressed,Underrated
Let Me Go,3 Doors Down,pop,FALSE,2012,243053,0.04,0.11,0.48,0.49,Sad,Underrated
I'm Sprung,T-Pain,hip hop,FALSE,2005,231040,0.11,0.08,0.72,0.17,Depressed,Underrated
Best of You,Foo Fighters,rock,FALSE,2005,255626,0.07,0.19,0.37,0.37,Sad,Popular
Hips Don't Lie (feat. Wyclef Jean),Shakira,pop,FALSE,2005,218093,0.07,0.41,0.78,0.76,Happy,Popular
Temperature,Sean Paul,hip hop,FALSE,2005,218573,0.07,0.07,0.95,0.82,Cheerful,Popular
SexyBack (feat. Timbaland),Justin Timberlake,pop,TRUE,2006,242733,0.08,0.05,0.97,0.96,Cheerful,Popular
SOS,Rihanna,hip hop,FALSE,2006,238920,0.04,0.41,0.68,0.53,Happy,Popular
Crazy,Gnarls Barkley,hip hop,FALSE,2006,177466,0.03,0.11,0.86,0.64,Happy,Popular
Maneater,Nelly Furtado,hip hop,FALSE,2006,258893,0.04,0.12,0.8,0.79,Cheerful,Popular
Pump It,Black Eyed Peas,hip hop,FALSE,2005,213066,0.18,0.75,0.65,0.74,Happy,Popular
Promiscuous,Nelly Furtado,hip hop,FALSE,2006,242293,0.05,0.15,0.81,0.87,Cheerful,Popular
Put Your Hands Up for Detroit - Radio Edit,Fedde Le Grand,pop,FALSE,2015,150533,0.23,0.09,0.81,0.52,Happy,Underrated
Shake That,Eminem,hip hop,TRUE,2005,274440,0.12,0.16,0.96,0.53,Happy,Popular
Supermassive Black Hole,Muse,rock,FALSE,2006,212439,0.04,0.09,0.67,0.78,Cheerful,Popular
Me & U,Cassie,pop,FALSE,2006,192213,0.03,0.07,0.8,0.74,Happy,Popular
My My My - Radio Edit,Armand Van Helden,pop,FALSE,2006,190000,0.14,0.03,0.68,0.76,Happy,Underrated
No Promises,Shayne Ward,pop,FALSE,2006,223066,0.03,0.12,0.5,0.18,Depressed,Underrated
My Love (feat. T.I.),Justin Timberlake,pop,FALSE,2006,276160,0.22,0.68,0.77,0.81,Cheerful,Popular
Everytime We Touch - Radio Edit,Cascada,hip hop,FALSE,2011,199120,0.06,0.37,0.64,0.49,Sad,Underrated
Control Myself,LL Cool J,hip hop,FALSE,2006,233973,0.21,0.21,0.83,0.48,Sad,Underrated
Stupid Girls,P!nk,pop,TRUE,2006,197173,0.07,0.05,0.68,0.57,Happy,Underrated
Bossy,Kelis,pop,FALSE,2006,273973,0.19,0.06,0.91,0.78,Cheerful,Underrated
Love Generation - Radio Edit,Bob Sinclar,pop,FALSE,2005,207613,0.06,0.04,0.72,0.55,Happy,Underrated
Thunder in My Heart Again (Radio Edit),Meck,pop,FALSE,2005,189800,0.03,0.07,0.68,0.81,Cheerful,Underrated
Something Kinda Ooooh,Girls Aloud,pop,FALSE,2012,201590,0.05,0.36,0.68,0.88,Cheerful,Underrated
Touch The Sky,Kanye West,hip hop,TRUE,2005,236600,0.34,0.31,0.55,0.55,Happy,Popular
"Dance, Dance",Fall Out Boy,rock,FALSE,2005,180266,0.15,0.09,0.62,0.45,Sad,Popular
What's Left Of Me,Nick Lachey,pop,FALSE,2006,244613,0.04,0.15,0.42,0.29,Sad,Underrated
When The Sun Goes Down,Arctic Monkeys,rock,TRUE,2006,202133,0.2,0.12,0.35,0.41,Sad,Popular
Life is a Highway,Rascal Flatts,country,FALSE,2006,276773,0.06,0.1,0.56,0.59,Happy,Underrated
Check On It (feat. Slim Thug),Beyoncé,pop,FALSE,2006,211186,0.22,0.38,0.7,0.88,Cheerful,Underrated
Love,Keyshia Cole,hip hop,FALSE,2005,255333,0.03,0.1,0.69,0.32,Sad,Popular
Too Little Too Late,JoJo,hip hop,FALSE,2006,223680,0.04,0.15,0.54,0.69,Happy,Underrated
Dani California,Red Hot Chili Peppers,rock,FALSE,2006,282160,0.04,0.35,0.56,0.73,Happy,Popular
So Sick,Ne-Yo,pop,FALSE,2006,207186,0.31,0.19,0.45,0.58,Happy,Popular
Lips Of An Angel,Hinder,pop,FALSE,2019,261053,0.03,0.21,0.47,0.24,Depressed,Underrated
Where'd You Go (feat. Holly Brook & Jonah Matranga),Fort Minor,hip hop,TRUE,2005,231866,0.24,0.11,0.68,0.25,Depressed,Underrated
The Rose,Westlife,pop,FALSE,2006,219106,0.03,0.08,0.27,0.17,Depressed,Underrated
No Tomorrow,Orson,pop,FALSE,2006,167493,0.07,0.28,0.66,0.74,Happy,Underrated
I'm N Luv (Wit a Stripper) (feat. Mike Jones),T-Pain,hip hop,TRUE,2005,265333,0.07,0.19,0.73,0.51,Happy,Underrated
Unwritten,Natasha Bedingfield,pop,FALSE,2004,259333,0.04,0.08,0.71,0.63,Happy,Underrated
You're All I Have,Snow Patrol,Traditional,FALSE,2006,273333,0.05,0.18,0.47,0.5,Sad,Underrated
How to Save a Life,The Fray,pop,FALSE,2005,262533,0.04,0.1,0.64,0.36,Sad,Popular
Welcome to the Black Parade,My Chemical Romance,rock,FALSE,2006,311106,0.08,0.22,0.22,0.24,Depressed,Popular
Wonderful World,James Morrison,pop,FALSE,2006,210066,0.03,0.1,0.47,0.59,Happy,Underrated
Who Knew,P!nk,pop,FALSE,2006,208493,0.03,0.08,0.69,0.46,Sad,Underrated
Naive,The Kooks,rock,FALSE,2006,203506,0.09,0.15,0.39,0.74,Happy,Popular
Bleeding Love,Leona Lewis,pop,FALSE,2007,262466,0.04,0.15,0.64,0.23,Depressed,Popular
Umbrella,Rihanna,hip hop,FALSE,2008,275986,0.13,0.04,0.58,0.58,Happy,Popular
Gimme More,Britney Spears,pop,FALSE,2007,251240,0.03,0.07,0.79,0.38,Sad,Popular
Big Girls Don't Cry (Personal),Fergie,pop,FALSE,2006,268120,0.03,0.09,0.71,0.25,Depressed,Popular
Valerie (feat. Amy Winehouse) - Version Revisited,Mark Ronson,pop,FALSE,2007,219413,0.05,0.12,0.7,0.9,Cheerful,Underrated
Hey There Delilah,Plain White T's,pop,FALSE,2005,232533,0.03,0.11,0.66,0.3,Sad,Popular
The Way I Are,Timbaland,hip hop,FALSE,2007,179120,0.1,0.32,0.73,0.77,Cheerful,Popular
Say It Right,Nelly Furtado,hip hop,FALSE,2006,223080,0.14,0.05,0.87,0.81,Cheerful,Popular
Let Me Think About It,Ida Corr,pop,FALSE,2012,151973,0.05,0.15,0.76,0.72,Happy,Underrated
Destination Calabria - Radio Edit,Alex Gaudino,Electronic,FALSE,2007,223111,0.04,0.29,0.63,0.31,Sad,Popular
Proper Education - Radio Edit,Eric Prydz,pop,FALSE,2007,198567,0.05,0.09,0.54,0.32,Sad,Underrated
Put Your Hands Up For Detroit - Radio Edit,Fedde Le Grand,pop,FALSE,2015,150533,0.2,0.1,0.83,0.49,Sad,Underrated
I Wanna Love You,Akon,pop,TRUE,2006,247066,0.04,0.31,0.87,0.35,Sad,Underrated
Crank That (Soulja Boy),Soulja Boy,hip hop,FALSE,2007,221933,0.08,0.05,0.74,0.8,Cheerful,Popular
U + Ur Hand,P!nk,pop,TRUE,2006,214386,0.05,0.03,0.71,0.89,Cheerful,Underrated
Can't Tell Me Nothing,Kanye West,hip hop,TRUE,2007,271600,0.04,0.82,0.6,0.1,Depressed,Underrated
The Creeps - Fedde Le Grand Radio Mix,Camille Jones,pop,FALSE,2006,152333,0.06,0.06,0.85,0.72,Happy,Underrated
What I've Done,Linkin Park,rock,FALSE,2007,205613,0.03,0.14,0.62,0.29,Sad,Popular
Paralyzer,Finger Eleven,rock,FALSE,2007,208106,0.05,0.23,0.64,0.86,Cheerful,Popular
Fake It,Seether,rock,TRUE,2007,193893,0.05,0.05,0.61,0.61,Happy,Popular
My Love (feat. T.I.),Justin Timberlake,pop,FALSE,2006,276160,0.22,0.68,0.77,0.81,Cheerful,Popular
Bleed It Out,Linkin Park,rock,TRUE,2007,166373,0.05,0.61,0.53,0.6,Happy,Popular
Teenagers,My Chemical Romance,rock,FALSE,2006,161920,0.06,0.18,0.46,0.86,Cheerful,Popular
Girlfriend,Avril Lavigne,pop,TRUE,2007,216600,0.1,0.21,0.56,0.67,Happy,Popular
Because Of You,Ne-Yo,pop,FALSE,2007,266840,0.04,0.1,0.81,0.83,Cheerful,Popular
It's Not Over,Daughtry,pop,FALSE,2016,215173,0.05,0.31,0.45,0.41,Sad,Underrated
Walk It Out,Unk,hip hop,TRUE,2013,173040,0.08,0.2,0.79,0.71,Happy,Underrated
Bartender (feat. Akon),T-Pain,hip hop,TRUE,2007,238800,0.13,0.21,0.68,0.41,Sad,Underrated
Thnks fr th Mmrs,Fall Out Boy,rock,FALSE,2007,203506,0.06,0.11,0.46,0.59,Happy,Popular
"Dear Maria, Count Me In",All Time Low,rock,FALSE,2007,182826,0.08,0.21,0.46,0.57,Happy,Popular
Back To Black,Amy Winehouse,R&B,TRUE,2006,241293,0.04,0.09,0.4,0.38,Sad,Popular
Do You Know? (The Ping Pong Song),Enrique Iglesias,pop,FALSE,2007,219533,0.05,0.03,0.75,0.71,Happy,Underrated
With Every Heartbeat,Robyn,pop,FALSE,2005,254920,0.04,0.27,0.48,0.41,Sad,Underrated
Misery Business,Paramore,pop,FALSE,2007,211520,0.07,0.11,0.52,0.73,Happy,Popular
Better Than Me,Hinder,pop,FALSE,2019,223533,0.03,0.18,0.45,0.25,Depressed,Underrated
"Pop, Lock & Drop It - Video Edit",Huey,hip hop,FALSE,2006,261026,0.22,0.35,0.72,0.65,Happy,Underrated
The Pretender,Foo Fighters,rock,FALSE,2007,269373,0.04,0.03,0.43,0.37,Sad,Popular
Stop Me (feat. Daniel Merriweather),Mark Ronson,pop,FALSE,2007,232946,0.04,0.14,0.63,0.35,Sad,Underrated
We Fly High,Jim Jones,hip hop,TRUE,2006,236080,0.3,0.09,0.69,0.48,Sad,Underrated
Face Down,The Red Jumpsuit Apparatus,pop,FALSE,2006,192000,0.04,0.13,0.55,0.46,Sad,Popular
Beautiful Girls,Sean Kingston,hip hop,FALSE,2007,225373,0.07,0.26,0.76,0.77,Cheerful,Popular
Don't Matter,Akon,pop,TRUE,2006,293066,0.04,0.23,0.8,0.34,Sad,Underrated
Before He Cheats,Carrie Underwood,pop,FALSE,2005,199946,0.04,0.12,0.52,0.29,Sad,Popular
Starz In Their Eyes,Just Jack,Electronic,FALSE,2006,295933,0.07,0.47,0.67,0.66,Happy,Underrated
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain,hip hop,FALSE,2007,227960,0.26,0.07,0.45,0.59,Happy,Underrated
Your Love Alone Is Not Enough (feat. Nina Persson),Manic Street Preachers,rock,FALSE,2007,235693,0.05,0.38,0.34,0.4,Sad,Underrated
Snow (Hey Oh),Red Hot Chili Peppers,rock,FALSE,2006,334666,0.05,0.12,0.43,0.6,Happy,Popular
Runaway Love,Ludacris,hip hop,TRUE,2006,280680,0.28,0.25,0.41,0.82,Cheerful,Underrated
Low (feat. T-Pain),Flo Rida,hip hop,FALSE,2008,231400,0.08,0.14,0.92,0.3,Sad,Popular
I Kissed A Girl,Katy Perry,pop,FALSE,2008,179640,0.07,0.13,0.7,0.7,Happy,Popular
Take A Bow,Rihanna,hip hop,FALSE,2008,229413,0.07,0.09,0.7,0.57,Happy,Popular
No One,Alicia Keys,pop,FALSE,2007,253813,0.03,0.13,0.64,0.17,Depressed,Popular
Apologize,Timbaland,hip hop,FALSE,2007,184400,0.03,0.1,0.65,0.1,Depressed,Popular
Dangerous,Kardinal Offishall,hip hop,TRUE,2008,246053,0.08,0.08,0.95,0.81,Cheerful,Popular
Disturbia,Rihanna,hip hop,FALSE,2008,238626,0.06,0.17,0.71,0.72,Happy,Popular
Infinity 2008,Guru Josh Project,hip hop,FALSE,2011,190013,0.06,0.36,0.49,0.48,Sad,Underrated
Flashing Lights,Kanye West,hip hop,TRUE,2007,237506,0.04,0.39,0.64,0.43,Sad,Underrated
Hot N Cold,Katy Perry,pop,FALSE,2008,220226,0.04,0.07,0.71,0.86,Cheerful,Popular
Don't Stop The Music,Rihanna,hip hop,FALSE,2008,267080,0.06,0.05,0.84,0.54,Happy,Popular
Womanizer,Britney Spears,pop,FALSE,2008,224400,0.06,0.09,0.72,0.24,Depressed,Popular
Work,Kelly Rowland,hip hop,FALSE,2010,207920,0.05,0.29,0.89,0.62,Happy,Underrated
When I Grow Up,The Pussycat Dolls,pop,FALSE,2008,245680,0.05,0.4,0.67,0.37,Sad,Popular
Heartbreaker,will.i.am,hip hop,TRUE,2007,327880,0.07,0.15,0.79,0.45,Sad,Underrated
Crank That (Soulja Boy),Soulja Boy,hip hop,FALSE,2007,221933,0.08,0.05,0.74,0.8,Cheerful,Popular
Live Your Life,T.I.,hip hop,TRUE,2008,338853,0.26,0.21,0.38,0.48,Sad,Popular
See You Again,Miley Cyrus,pop,FALSE,2007,190453,0.18,0.11,0.69,0.8,Cheerful,Underrated
Paralyzer,Finger Eleven,rock,FALSE,2007,208106,0.05,0.23,0.64,0.86,Cheerful,Popular
The Boy Does Nothing,Alesha Dixon,pop,FALSE,2008,210680,0.12,0.03,0.63,0.85,Cheerful,Underrated
"You're Gonna Go Far, Kid",The Offspring,rock,TRUE,2008,177826,0.06,0.2,0.55,0.6,Happy,Popular
Homecoming,Kanye West,hip hop,TRUE,2007,203493,0.19,0.12,0.67,0.92,Cheerful,Underrated
American Boy,Estelle,R&B,TRUE,2008,284733,0.33,0.07,0.73,0.51,Happy,Popular
So What,P!nk,pop,TRUE,2008,215160,0.04,0.24,0.53,0.46,Sad,Popular
Paper Planes,M.I.A.,pop,FALSE,2007,205200,0.22,0.65,0.45,0.49,Sad,Underrated
Wow,Kylie Minogue,pop,FALSE,2007,190973,0.2,0.38,0.65,0.85,Cheerful,Underrated
Touch My Body,Mariah Carey,pop,FALSE,2008,204733,0.05,0.22,0.72,0.84,Cheerful,Underrated
Kids,MGMT,rock,FALSE,2007,302840,0.07,0.36,0.45,0.17,Depressed,Popular
Black & Gold - Radio Edit,Sam Sparro,pop,FALSE,2008,212360,0.08,0.11,0.38,0.42,Sad,Underrated
That's Not My Name,The Ting Tings,pop,FALSE,2008,310573,0.09,0.36,0.76,0.96,Cheerful,Underrated
Whatever You Like,T.I.,hip hop,TRUE,2008,249533,0.07,0.26,0.68,0.47,Sad,Popular
Viva La Vida,Coldplay,rock,FALSE,2008,242373,0.03,0.11,0.49,0.42,Sad,Popular
Sex on Fire,Kings of Leon,rock,FALSE,2008,203346,0.05,0.14,0.54,0.37,Sad,Popular
Good Life,Kanye West,hip hop,TRUE,2007,207000,0.35,0.44,0.44,0.49,Sad,Underrated
In Love With a Girl,Gavin DeGraw,pop,FALSE,2008,206000,0.04,0.37,0.44,0.68,Happy,Underrated
Sexy Can I feat. Yung Berg,Ray J,hip hop,TRUE,2008,204040,0.33,0.61,0.58,0.93,Cheerful,Underrated
Forever,Chris Brown,hip hop,FALSE,2008,278573,0.05,0.18,0.67,0.44,Sad,Popular
Chasing Pavements,Adele,pop,FALSE,2008,210506,0.03,0.11,0.61,0.33,Sad,Underrated
Can't Believe It (feat. Lil' Wayne),T-Pain,hip hop,FALSE,2008,273826,0.05,0.08,0.65,0.08,Depressed,Underrated
I Gotta Feeling,Black Eyed Peas,hip hop,FALSE,2009,289133,0.03,0.51,0.74,0.61,Happy,Popular
Poker Face,Lady Gaga,pop,FALSE,2008,237200,0.08,0.12,0.85,0.79,Cheerful,Popular
Halo,Beyoncé,pop,FALSE,2008,261640,0.06,0.06,0.51,0.47,Sad,Popular
Sexy Bitch (feat. Akon),David Guetta,hip hop,TRUE,2010,195853,0.05,0.13,0.81,0.8,Cheerful,Popular
Right Round,Flo Rida,hip hop,FALSE,2009,204640,0.06,0.23,0.72,0.71,Happy,Popular
Love Story,Taylor Swift,pop,FALSE,2008,236266,0.03,0.08,0.62,0.31,Sad,Popular
Circus,Britney Spears,pop,FALSE,2008,192360,0.05,0.07,0.79,0.76,Cheerful,Popular
Monster,Skillet,rock,FALSE,2009,178013,0.07,0.08,0.64,0.69,Happy,Popular
Meet Me Halfway,Black Eyed Peas,hip hop,FALSE,2009,284373,0.07,0.32,0.8,0.4,Sad,Popular
Heartless,Kanye West,hip hop,FALSE,2008,211000,0.14,0.25,0.79,0.65,Happy,Popular
Day 'N' Nite (Nightmare),Kid Cudi,hip hop,FALSE,2009,221240,0.07,0.12,0.88,0.8,Cheerful,Popular
Just Dance,Lady Gaga,pop,FALSE,2008,241933,0.03,0.18,0.82,0.75,Happy,Popular
Sweet Dreams,Beyoncé,pop,FALSE,2008,208066,0.11,0.06,0.69,0.79,Cheerful,Underrated
Empire State Of Mind,JAY-Z,hip hop,TRUE,2009,276920,0.39,0.46,0.49,0.81,Cheerful,Popular
Run This Town,JAY-Z,hip hop,TRUE,2009,267520,0.29,0.26,0.63,0.44,Sad,Popular
Bad Romance,Lady Gaga,pop,TRUE,2009,294573,0.04,0.08,0.7,0.71,Happy,Popular
Live Your Life,T.I.,hip hop,TRUE,2008,338853,0.26,0.21,0.38,0.48,Sad,Popular
Bonkers,Dizzee Rascal,hip hop,FALSE,2011,177573,0.22,0.25,0.62,0.74,Happy,Underrated
Intro,The xx,rock,FALSE,2009,127920,0.03,0.13,0.62,0.15,Depressed,Underrated
Down,Jay Sean,hip hop,FALSE,2009,212106,0.03,0.08,0.66,0.68,Happy,Underrated
Turnin Me On - Original Dirty,Keri Hilson,pop,TRUE,2008,248066,0.06,0.13,0.66,0.09,Depressed,Underrated
Kiss Me Thru The Phone,Soulja Boy,hip hop,TRUE,2008,193386,0.11,0.07,0.76,0.8,Cheerful,Popular
Sober,P!nk,pop,FALSE,2010,251440,0.03,0.2,0.61,0.41,Sad,Underrated
Beat Again - Radio Edit,JLS,pop,FALSE,2009,196640,0.07,0.08,0.89,0.97,Cheerful,Underrated
Break Up,Mario,pop,TRUE,2009,249026,0.36,0.17,0.44,0.48,Sad,Underrated
Forever,Drake,hip hop,TRUE,2009,357706,0.34,0.18,0.46,0.54,Happy,Popular
Walking On A Dream,Empire of the Sun,rock,FALSE,2008,198440,0.05,0.06,0.87,0.72,Happy,Popular
Uprising,Muse,rock,FALSE,2009,304840,0.08,0.12,0.6,0.41,Sad,Popular
Whatever You Like,T.I.,hip hop,TRUE,2008,249533,0.07,0.26,0.68,0.47,Sad,Popular
Secrets,OneRepublic,pop,FALSE,2009,224693,0.04,0.12,0.52,0.38,Sad,Popular
Everybody in Love,JLS,pop,FALSE,2013,195586,0.03,0.36,0.71,0.66,Happy,Underrated
Big Green Tractor,Jason Aldean,country,FALSE,2009,204200,0.03,0.22,0.62,0.58,Happy,Underrated
The Fear,Lily Allen,pop,TRUE,2009,207120,0.04,0.11,0.66,0.52,Happy,Underrated
Sex on Fire,Kings of Leon,rock,FALSE,2008,203346,0.05,0.14,0.54,0.37,Sad,Popular
Party In The U.S.A.,Miley Cyrus,pop,FALSE,2009,202066,0.04,0.09,0.65,0.47,Sad,Popular
21 Guns,Green Day,rock,FALSE,2009,321093,0.04,0.63,0.27,0.42,Sad,Popular
Waking Up In Vegas,Katy Perry,pop,FALSE,2008,199186,0.03,0.1,0.52,0.59,Happy,Underrated
You Found Me,The Fray,pop,FALSE,2009,241853,0.04,0.14,0.34,0.4,Sad,Popular
Just the Way You Are,Bruno Mars,pop,FALSE,2010,220734,0.04,0.06,0.64,0.42,Sad,Popular
Love The Way You Lie,Eminem,hip hop,TRUE,2010,263373,0.23,0.52,0.75,0.64,Happy,Popular
Bad Romance,Lady Gaga,pop,TRUE,2009,294573,0.04,0.08,0.7,0.71,Happy,Popular
Alors on danse - Radio Edit,Stromae,pop,FALSE,2010,206066,0.08,0.07,0.79,0.71,Happy,Popular
TiK ToK,Kesha,pop,FALSE,2010,199693,0.14,0.29,0.76,0.71,Happy,Popular
Memories (feat. Kid Cudi),David Guetta,hip hop,FALSE,2010,210853,0.26,0.25,0.55,0.38,Sad,Popular
Dynamite,Taio Cruz,hip hop,FALSE,2010,202613,0.09,0.04,0.75,0.82,Cheerful,Popular
